ZIP,emp
10580,159.55555555555554
10583,1133.4444444444443
10591,213.75294117647059
10596,5.833333333333333
10601,1746.0666666666666
10603,640.4
10604,292.77142857142854
10605,2174.5
10701,3525.4
10704,230.04761904761904
10705,2225.0
10708,331.6111111111111
10710,845.5
10802,78.5
10803,2075.0
10804,624.0
10949,-1.0
10950,2705.3333333333335
10952,980.875
10954,1291.875
10956,1467.4
10962,3508.0
10965,511.07142857142856
10980,52.86666666666667
10981,27.6
11002,-1.0
11003,1626.75
11004,0.11989903239377364
11005,-0.4730831973898858
11010,171.375
11020,147.4
11021,162.02083333333334
11022,9.5
11023,30.06779661016949
11040,3619.6666666666665
11042,2288.8333333333335
11050,934.5714285714286
11096,692.2
11101,-0.11908155914225715
11102,-0.19599578503688098
11103,0.09500980605796472
11104,0.18203566768160062
11105,-0.05551387846961742
11106,-0.23710429053511173
11109,-0.5905511811023623
11201,-0.09992594251072107
11202,0.5686274509803921
11203,0.028939254611348497
11204,-0.189072964399013
11205,-0.05898533007334961
11206,-0.04099378881987581
11207,-0.27894052264396363
11208,-0.3735204149487964
11209,-0.06426638131805884
11210,-0.21241340572926415
11211,0.06098839521347754
11212,-0.1989348909122144
11213,-0.49634602311352827
11214,-0.1846512305227902
11215,-0.18655196775131944
11216,-0.5128755364806867
11217,-0.13511351750446077
11218,-0.09358062330623307
11219,-0.08400464474925606
11220,-0.1477019772161844
11221,-0.514312203036273
11222,-0.07398553004089337
11223,0.35653261096061684
11224,-0.4056788848735158
11225,-0.5159209995969367
11226,-0.31199871671478985
11228,-0.2808931310720981
11229,-0.2484986654804271
11230,0.0174933959495156
11231,-0.24788631048749776
11232,-0.0639523718071826
11233,-0.5566514921598381
11234,-0.20838808009670473
11235,-0.33599999999999997
11236,-0.2724763679017457
11237,-0.11430755997323905
11238,-0.4072812051649928
11239,0.022471910112359605
11241,-0.28088578088578087
11242,-0.5178979436405179
11243,1.1102941176470589
11245,-1.0
11247,-1.0
11251,-1.0
11252,-0.36923076923076925
11256,-1.0
11351,-1.0
11352,-1.0
11354,-0.02424830261881672
11355,0.029456847717427515
11356,-0.041771696074900944
11357,0.10504980310400747
11358,-0.2795623509608641
11359,0.4320987654320987
11360,-0.21940119760479038
11361,0.16453989003008607
11362,-0.06958879349299596
11363,-0.08939708939708935
11364,-0.42674888369126085
11365,0.03776041666666674
11366,-0.32543906333155936
11367,-0.2679936022747468
11368,-0.29818080434934136
11369,-0.2889415194024413
11370,-0.24112636062470416
11371,2.2467583497053045
11372,-0.4632543178798686
11373,-0.18763578905787082
11374,0.09373376285981494
11375,0.026880589163598145
11377,-0.04257628754070675
11378,0.16082022182099553
11379,-0.21178463855421692
11380,-1.0
11385,-0.3363929796247731
11386,-1.0
11405,-1.0
11411,-0.403183023872679
11412,-0.6551983927674536
11413,-0.2478985174996179
11414,-0.1964636542239686
11415,-0.19432860717264389
11416,0.012548891786180016
11417,-0.41220265117123656
11418,-0.055877217167539794
11419,-0.46408937754921087
11420,-0.5238202247191011
11421,-0.3667745415318231
11422,-0.4039751552795031
