OBJECTID,zip_1,mid_03,mid_04,mid_05,mid_06,mid_07,mid_08,mid_09,mid_10,mid_11,mid_12,Shape_Length,Shape_Area,SS_SEED,SS_GROUP
11,11214,-0.213458534000000,-0.233697824000000,-0.230352449000000,-0.225997121000000,-0.208003373000000,-0.221028012000000,-0.266664057000000,-0.174593076000000,-0.137475364000000,-0.122225850000000,0.134175311382824,0.000597631823604,0,1
12,11231,-0.152050642000000,-0.175133261000000,-0.129210303000000,-0.225997121000000,-0.235763721000000,-0.261372863000000,-0.237704438000000,-0.204429506000000,-0.166674908000000,-0.108049822000000,0.118063401514166,0.000408731699815,0,1
13,10006,0.277804602000000,0.190895255000000,0.203113894000000,0.242644533000000,0.263922543000000,0.343799904000000,0.312528335000000,0.347544436000000,0.256718477000000,0.373935133000000,0.021477933971930,0.000026640556378,0,4
14,10128,0.047525007000000,0.000560426000000,0.044176235000000,0.043826862000000,-0.055321459000000,0.074834229000000,0.051891759000000,0.034261928000000,0.008522355000000,-0.008817625000000,0.059498730376103,0.000130126293332,0,4
15,11355,-0.259514453000000,-0.233697824000000,-0.230352449000000,-0.297003432000000,-0.263524069000000,-0.274821147000000,-0.310103487000000,-0.279020579000000,-0.341872170000000,-0.306514215000000,0.109187218289639,0.000478531415515,0,1
16,10169,-0.413034182000000,-0.409391511000000,-0.389290109000000,-0.368009743000000,-0.346805113000000,-0.342062566000000,-0.324583297000000,-0.368529867000000,-0.312672626000000,-0.363218328000000,0.004360998165473,0.000001058464070,0,1
17,10103,-0.182754588000000,-0.306903527000000,-0.302596840000000,-0.325405956000000,-0.305164591000000,-0.328614282000000,-0.396982346000000,-0.413284511000000,-0.429470801000000,-0.405746412000000,0.008549486987410,0.000002642222869,0,1
18,11102,-0.336274317000000,-0.380109230000000,-0.360392353000000,-0.339607218000000,-0.374565461000000,-0.342062566000000,-0.353542916000000,-0.338693437000000,-0.341872170000000,-0.377394356000000,0.077132015500820,0.000230656523003,0,1
19,10153,-0.428386155000000,-0.438673793000000,-0.432636743000000,-0.410613530000000,-0.416205983000000,-0.368959133000000,-0.339063107000000,-0.383448081000000,-0.385671486000000,-0.334866271000000,0.005027402551171,0.000001309821267,0,1
20,10154,-0.443738128000000,-0.409391511000000,-0.403738987000000,-0.382211005000000,-0.416205983000000,-0.436200552000000,-0.440421775000000,-0.428202725000000,-0.444070573000000,-0.405746412000000,0.005056376745689,0.000001320456167,0,1
