zip,sic,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,4510,20,3,4,1,2,3,6,1,0,0
10001,4580,4,2,0,1,0,0,0,0,1,0
10001,4700,1,1,0,0,0,0,0,0,0,0
10001,4724,82,65,12,2,3,0,0,0,0,0
10001,4725,9,6,2,0,0,1,0,0,0,0
10001,4729,3,2,1,0,0,0,0,0,0,0
10001,4730,28,18,7,1,2,0,0,0,0,0
10001,4780,1,0,1,0,0,0,0,0,0,0
10001,4800,2,2,0,0,0,0,0,0,0,0
10001,4813,10,3,1,2,3,0,1,0,0,0
10001,4820,2,2,0,0,0,0,0,0,0,0
10001,4830,4,1,1,1,1,0,0,0,0,0
10001,4840,2,1,0,0,0,1,0,0,0,0
10001,4910,1,1,0,0,0,0,0,0,0,0
10001,497\,6,4,0,1,0,0,0,1,0,0
10001,50--,2035,1351,361,184,97,22,20,0,0,0
10001,5000,9,8,1,0,0,0,0,0,0,0
10001,5010,1,1,0,0,0,0,0,0,0,0
10001,5013,4,4,0,0,0,0,0,0,0,0
10001,5015,1,0,1,0,0,0,0,0,0,0
10001,5020,1,1,0,0,0,0,0,0,0,0
10001,5021,14,11,0,1,1,1,0,0,0,0
10001,5023,68,49,11,3,5,0,0,0,0,0
10001,5031,2,2,0,0,0,0,0,0,0,0
10001,5032,3,0,2,0,1,0,0,0,0,0
10001,5039,1,1,0,0,0,0,0,0,0,0
10001,5043,9,5,2,2,0,0,0,0,0,0
10001,5044,19,7,4,2,3,0,3,0,0,0
10001,5045,29,17,5,2,4,0,1,0,0,0
10001,5046,13,6,3,3,1,0,0,0,0,0
10001,5047,3,2,0,1,0,0,0,0,0,0
10001,5048,14,8,3,3,0,0,0,0,0,0
10001,5049,2,2,0,0,0,0,0,0,0,0
10001,5051,9,2,2,3,2,0,0,0,0,0
10001,5052,2,1,1,0,0,0,0,0,0,0
10001,5060,1,1,0,0,0,0,0,0,0,0
10001,5063,14,10,2,0,2,0,0,0,0,0
10001,5064,17,6,7,2,1,1,0,0,0,0
10001,5065,56,34,9,4,5,3,1,0,0,0
10001,5072,5,3,2,0,0,0,0,0,0,0
10001,5075,3,1,1,0,1,0,0,0,0,0
10001,5078,1,1,0,0,0,0,0,0,0,0
10001,5080,2,1,1,0,0,0,0,0,0,0
10001,5083,1,1,0,0,0,0,0,0,0,0
10001,5084,20,10,6,2,2,0,0,0,0,0
10001,5085,5,2,3,0,0,0,0,0,0,0
10001,5087,2,1,0,1,0,0,0,0,0,0
10001,5091,4,3,1,0,0,0,0,0,0,0
10001,5092,24,11,7,3,2,0,1,0,0,0
10001,5093,9,5,2,2,0,0,0,0,0,0
10001,5094,266,190,47,20,6,1,2,0,0,0
10001,5099,42,27,8,4,1,0,2,0,0,0
10001,5100,3,3,0,0,0,0,0,0,0,0
10001,5111,7,2,3,0,2,0,0,0,0,0
10001,5112,28,15,8,5,0,0,0,0,0,0
10001,5113,21,11,4,4,1,0,1,0,0,0
10001,5120,61,51,7,1,0,0,2,0,0,0
10001,5130,51,46,1,2,2,0,0,0,0,0
10001,5131,204,133,39,20,9,3,0,0,0,0
10001,5136,128,74,28,17,5,3,1,0,0,0
10001,5137,445,311,69,31,23,6,5,0,0,0
10001,5139,49,32,8,5,2,1,1,0,0,0
10001,5140,1,1,0,0,0,0,0,0,0,0
10001,5141,5,3,1,1,0,0,0,0,0,0
10001,5142,1,0,0,0,1,0,0,0,0,0
10001,5143,1,1,0,0,0,0,0,0,0,0
10001,5144,1,1,0,0,0,0,0,0,0,0
10001,5145,2,0,2,0,0,0,0,0,0,0
10001,5146,1,0,0,1,0,0,0,0,0,0
10001,5147,1,1,0,0,0,0,0,0,0,0
10001,5148,4,2,1,0,1,0,0,0,0,0
10001,5149,8,5,2,1,0,0,0,0,0,0
10001,5154,1,1,0,0,0,0,0,0,0,0
10001,5159,29,24,4,1,0,0,0,0,0,0
10001,5162,3,3,0,0,0,0,0,0,0,0
10001,5169,7,5,1,0,1,0,0,0,0,0
10001,5180,1,1,0,0,0,0,0,0,0,0
10001,5182,4,0,1,2,1,0,0,0,0,0
10001,5190,13,13,0,0,0,0,0,0,0,0
10001,5191,7,6,0,1,0,0,0,0,0,0
10001,5192,22,13,4,2,3,0,0,0,0,0
10001,5193,33,16,6,8,3,0,0,0,0,0
10001,5194,1,1,0,0,0,0,0,0,0,0
10001,5199,206,138,40,20,5,3,0,0,0,0
10001,519\,10,4,1,4,1,0,0,0,0,0
10001,52--,1021,567,170,127,99,35,16,2,3,2
10001,5230,2,2,0,0,0,0,0,0,0,0
10001,5250,7,5,0,1,1,0,0,0,0,0
10001,5260,3,2,1,0,0,0,0,0,0,0
10001,5300,2,2,0,0,0,0,0,0,0,0
10001,5310,4,0,0,0,0,2,0,0,1,1
10001,5330,8,3,2,1,1,0,1,0,0,0
10001,5390,16,7,1,1,6,1,0,0,0,0
10001,5400,1,1,0,0,0,0,0,0,0,0
10001,5410,48,32,11,4,1,0,0,0,0,0
10001,5430,6,5,1,0,0,0,0,0,0,0
10001,5440,2,1,1,0,0,0,0,0,0,0
10001,5450,5,4,1,0,0,0,0,0,0,0
10001,5460,10,6,2,1,1,0,0,0,0,0
10001,5490,6,4,2,0,0,0,0,0,0,0
10001,5520,1,0,1,0,0,0,0,0,0,0
10001,5540,4,4,0,0,0,0,0,0,0,0
10001,5570,1,0,1,0,0,0,0,0,0,0
10001,5600,7,5,2,0,0,0,0,0,0,0
10001,5610,27,16,3,6,2,0,0,0,0,0
10001,5620,50,27,4,7,9,2,1,0,0,0
10001,5630,59,49,5,5,0,0,0,0,0,0
10001,5640,6,1,0,1,2,1,1,0,0,0
10001,5650,18,9,3,4,1,0,1,0,0,0
10001,5660,35,10,8,12,5,0,0,0,0,0
10001,5690,19,11,4,3,0,0,1,0,0,0
10001,5712,9,5,3,0,1,0,0,0,0,0
10001,5713,7,7,0,0,0,0,0,0,0,0
10001,5714,1,1,0,0,0,0,0,0,0,0
10001,5719,4,1,1,0,1,1,0,0,0,0
10001,5720,5,2,2,1,0,0,0,0,0,0
10001,5730,1,1,0,0,0,0,0,0,0,0
10001,5731,19,13,5,1,0,0,0,0,0,0
10001,5734,13,8,3,1,1,0,0,0,0,0
10001,5735,13,7,3,1,1,1,0,0,0,0
10001,5736,1,0,1,0,0,0,0,0,0,0
10001,5800,25,19,2,2,0,1,1,0,0,0
10001,5812,298,118,50,51,51,20,7,0,1,0
10001,5813,22,12,6,3,0,0,0,1,0,0
10001,5900,2,1,1,0,0,0,0,0,0,0
10001,5910,11,6,3,0,2,0,0,0,0,0
10001,5920,5,4,1,0,0,0,0,0,0,0
10001,5930,10,6,2,2,0,0,0,0,0,0
10001,5941,11,5,1,2,2,0,1,0,0,0
10001,5942,5,3,1,0,1,0,0,0,0,0
10001,5943,6,3,0,2,1,0,0,0,0,0
10001,5944,37,28,6,2,1,0,0,0,0,0
10001,5945,5,3,0,1,0,0,1,0,0,0
10001,5946,10,4,3,1,1,1,0,0,0,0
10001,5947,23,19,4,0,0,0,0,0,0,0
10001,5948,10,8,2,0,0,0,0,0,0,0
10001,5949,3,3,0,0,0,0,0,0,0,0
10001,5961,15,8,3,1,2,1,0,0,0,0
10001,5962,4,3,1,0,0,0,0,0,0,0
10001,5963,9,7,1,1,0,0,0,0,0,0
10001,5992,17,12,2,2,1,0,0,0,0,0
10001,5993,5,3,2,0,0,0,0,0,0,0
10001,5994,22,18,2,0,0,2,0,0,0,0
10001,5995,6,2,2,2,0,0,0,0,0,0
10001,5999,22,16,2,3,0,1,0,0,0,0
10001,599\,18,5,2,2,4,1,1,1,1,1
10001,60--,640,368,103,97,44,18,6,1,1,2
10001,6020,17,5,2,1,6,2,1,0,0,0
10001,6030,3,0,0,1,2,0,0,0,0,0
10001,6060,8,5,1,2,0,0,0,0,0,0
10001,6080,3,0,1,0,2,0,0,0,0,0
10001,6090,8,5,0,3,0,0,0,0,0,0
10001,6100,1,1,0,0,0,0,0,0,0,0
10001,6140,1,0,0,0,0,1,0,0,0,0
10001,6150,11,9,0,0,1,0,1,0,0,0
10001,6160,7,4,2,1,0,0,0,0,0,0
10001,6210,73,20,13,29,10,1,0,0,0,0
10001,6220,1,1,0,0,0,0,0,0,0,0
10001,6280,5,4,0,0,1,0,0,0,0,0
10001,6310,9,1,1,1,1,4,1,0,0,0
10001,6324,4,1,0,1,0,0,0,0,0,2
10001,6330,7,4,0,0,0,0,2,1,0,0
10001,6370,5,3,0,1,0,1,0,0,0,0
10001,6400,32,21,5,2,3,1,0,0,0,0
10001,6500,3,2,1,0,0,0,0,0,0,0
10001,6510,270,167,54,35,7,6,0,0,1,0
10001,6530,115,78,16,10,8,2,1,0,0,0
10001,6540,3,2,1,0,0,0,0,0,0,0
10001,6552,1,0,1,0,0,0,0,0,0,0
10001,6710,13,10,2,0,1,0,0,0,0,0
10001,6720,1,1,0,0,0,0,0,0,0,0
10001,6732,14,6,2,5,1,0,0,0,0,0
10001,6733,7,5,1,1,0,0,0,0,0,0
10001,6794,5,4,0,1,0,0,0,0,0,0
10001,6798,1,1,0,0,0,0,0,0,0,0
10001,6799,11,8,0,2,1,0,0,0,0,0
10001,679\,1,0,0,1,0,0,0,0,0,0
10001,70--,2031,1182,363,219,134,74,35,12,6,6
10001,7010,12,4,1,1,2,3,0,1,0,0
10001,7020,2,1,0,0,0,0,1,0,0,0
10001,7200,6,5,1,0,0,0,0,0,0,0
10001,7210,1,1,0,0,0,0,0,0,0,0
10001,7212,1,1,0,0,0,0,0,0,0,0
10001,7213,1,1,0,0,0,0,0,0,0,0
10001,7215,1,0,0,1,0,0,0,0,0,0
10001,7216,8,6,1,1,0,0,0,0,0,0
10001,7217,5,2,2,0,0,1,0,0,0,0
10001,7219,9,6,2,0,1,0,0,0,0,0
10001,7220,15,12,0,2,1,0,0,0,0,0
10001,7230,34,27,6,0,0,1,0,0,0,0
10001,7240,8,7,1,0,0,0,0,0,0,0
10001,7250,3,2,0,1,0,0,0,0,0,0
10001,7291,5,3,1,0,0,0,1,0,0,0
10001,7299,9,5,3,1,0,0,0,0,0,0
10001,7300,24,23,0,1,0,0,0,0,0,0
10001,7311,41,27,5,5,3,0,1,0,0,0
10001,7313,7,4,1,1,1,0,0,0,0,0
10001,7319,9,3,3,2,1,0,0,0,0,0
10001,7322,15,6,2,4,1,1,1,0,0,0
10001,7323,3,2,0,0,1,0,0,0,0,0
10001,7330,1,1,0,0,0,0,0,0,0,0
10001,7331,10,3,0,3,4,0,0,0,0,0
10001,7334,9,6,2,0,1,0,0,0,0,0
10001,7335,67,57,7,1,2,0,0,0,0,0
10001,7336,111,74,21,7,5,3,1,0,0,0
10001,7338,4,1,2,1,0,0,0,0,0,0
10001,7342,7,2,2,2,1,0,0,0,0,0
10001,7349,25,6,2,4,4,3,1,1,2,2
10001,7352,2,1,1,0,0,0,0,0,0,0
10001,7359,5,2,0,1,0,2,0,0,0,0
10001,7361,36,24,2,5,4,0,1,0,0,0
10001,7363,10,4,2,1,0,1,1,0,1,0
10001,7370,2,2,0,0,0,0,0,0,0,0
10001,7371,24,11,5,3,1,4,0,0,0,0
10001,7372,14,5,2,4,2,0,0,0,1,0
10001,7373,12,5,3,1,1,0,2,0,0,0
10001,7374,15,9,1,0,2,2,1,0,0,0
10001,7375,9,3,4,0,0,1,1,0,0,0
10001,7377,3,1,0,1,0,1,0,0,0,0
10001,7378,5,1,2,0,1,1,0,0,0,0
10001,7379,46,25,10,6,2,1,1,1,0,0
10001,7381,18,5,4,1,1,2,1,3,1,0
10001,7382,4,1,2,0,0,0,1,0,0,0
10001,7383,5,0,1,1,3,0,0,0,0,0
10001,7384,13,6,4,3,0,0,0,0,0,0
10001,7389,162,111,28,11,9,1,2,0,0,0
10001,7500,1,1,0,0,0,0,0,0,0,0
10001,7513,2,1,0,1,0,0,0,0,0,0
10001,7520,89,57,16,9,3,4,0,0,0,0
10001,7532,1,0,1,0,0,0,0,0,0,0
10001,7534,1,1,0,0,0,0,0,0,0,0
10001,7536,1,1,0,0,0,0,0,0,0,0
10001,7538,15,12,1,2,0,0,0,0,0,0
10001,7542,1,1,0,0,0,0,0,0,0,0
10001,7600,1,1,0,0,0,0,0,0,0,0
10001,7622,3,2,1,0,0,0,0,0,0,0
10001,7623,4,4,0,0,0,0,0,0,0,0
10001,7629,4,2,1,0,1,0,0,0,0,0
10001,7630,2,1,1,0,0,0,0,0,0,0
10001,7640,13,10,2,1,0,0,0,0,0,0
10001,7692,1,0,0,1,0,0,0,0,0,0
10001,7699,13,6,3,3,1,0,0,0,0,0
10001,7800,1,1,0,0,0,0,0,0,0,0
10001,7812,59,40,10,6,3,0,0,0,0,0
10001,7819,17,9,3,2,0,3,0,0,0,0
10001,7822,10,6,1,2,1,0,0,0,0,0
10001,7829,1,0,0,0,0,0,1,0,0,0
10001,7832,2,1,0,0,1,0,0,0,0,0
10001,7840,3,2,0,1,0,0,0,0,0,0
10001,7900,5,4,0,0,1,0,0,0,0,0
10001,7910,3,2,0,0,0,1,0,0,0,0
10001,7920,2,1,0,1,0,0,0,0,0,0
10001,7922,45,22,11,8,0,4,0,0,0,0
10001,7929,21,18,2,1,0,0,0,0,0,0
10001,7930,1,1,0,0,0,0,0,0,0,0
10001,7941,1,0,0,0,1,0,0,0,0,0
10001,7948,1,0,0,1,0,0,0,0,0,0
10001,7991,7,1,2,1,3,0,0,0,0,0
10001,7993,1,0,0,1,0,0,0,0,0,0
10001,7997,2,0,0,1,1,0,0,0,0,0
10001,7999,14,10,2,1,0,1,0,0,0,0
10001,8010,32,16,8,4,2,0,2,0,0,0
10001,8020,16,8,6,2,0,0,0,0,0,0
10001,8040,1,1,0,0,0,0,0,0,0,0
10001,8041,3,2,1,0,0,0,0,0,0,0
10001,8042,1,1,0,0,0,0,0,0,0,0
10001,8043,3,2,1,0,0,0,0,0,0,0
10001,8049,14,14,0,0,0,0,0,0,0,0
10001,8050,2,0,0,0,0,0,0,1,0,1
10001,8060,1,1,0,0,0,0,0,0,0,0
10001,8071,2,1,0,0,1,0,0,0,0,0
10001,8072,6,3,1,1,1,0,0,0,0,0
10001,8080,10,6,0,0,0,0,1,1,0,2
10001,8090,6,1,0,3,0,1,0,1,0,0
10001,8100,109,78,17,9,2,2,1,0,0,0
10001,8200,1,1,0,0,0,0,0,0,0,0
10001,8210,9,0,1,0,4,3,1,0,0,0
10001,8220,7,2,0,1,2,1,0,1,0,0
10001,8240,18,12,3,1,1,1,0,0,0,0
10001,8290,22,13,4,3,1,1,0,0,0,0
10001,8300,4,4,0,0,0,0,0,0,0,0
10001,8320,40,10,13,5,6,3,2,0,0,1
10001,8330,4,1,1,1,1,0,0,0,0,0
10001,8350,5,0,2,2,1,0,0,0,0,0
10001,8360,3,1,0,0,1,1,0,0,0,0
10001,8390,28,12,3,6,5,1,1,0,0,0
10001,8410,1,1,0,0,0,0,0,0,0,0
10001,8610,20,11,4,2,2,1,0,0,0,0
10001,8620,10,1,6,3,0,0,0,0,0,0
10001,8630,15,6,1,4,1,2,1,0,0,0
10001,8640,19,8,8,1,1,0,1,0,0,0
10001,8650,1,1,0,0,0,0,0,0,0,0
10001,8660,21,8,6,2,2,0,2,1,0,0
10001,8690,5,4,0,1,0,0,0,0,0,0
