OBJECTID,zip_1,large_03,large_04,large_05,large_06,large_07,large_08,large_09,large_10,large_11,large_12,Shape_Length,Shape_Area,SS_SEED,SS_GROUP
31,10119,-0.082446581000000,-0.219924641000000,-0.226042171000000,-0.096406258000000,-0.164753237000000,-0.172186190000000,-0.087859385000000,-0.087350758000000,-0.102372074000000,-0.039955437000000,0.009193613382557,0.000004545252373,0,1
32,11371,-0.082446581000000,0.130412630000000,0.112858932000000,0.164421030000000,0.166337402000000,0.081689745000000,-0.020349784000000,0.052544325000000,0.033906674000000,-0.039955437000000,0.093058383491031,0.000272841486744,0,1
33,10110,-0.415097845000000,-0.430127004000000,-0.429382833000000,-0.422440368000000,-0.429625748000000,-0.426062125000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.437607163000000,0.008679844885732,0.000002848336939,0,2
34,11209,-0.282037339000000,-0.289992096000000,-0.158261951000000,-0.161613080000000,-0.098535109000000,-0.108717207000000,-0.155368987000000,-0.157298299000000,-0.170511448000000,-0.238781300000000,0.128430147194198,0.000589175455539,0,1
35,10025,0.183674430000000,0.200480085000000,0.045078711000000,-0.031199436000000,-0.098535109000000,-0.172186190000000,-0.155368987000000,-0.087350758000000,-0.034232700000000,-0.039955437000000,0.082322018200435,0.000206298285857,0,1
36,11206,-0.015916328000000,0.060345176000000,0.112858932000000,0.099214208000000,0.166337402000000,-0.045248223000000,-0.020349784000000,0.192439408000000,-0.034232700000000,-0.039955437000000,0.096335137325588,0.000390469539599,0,1
37,10455,0.050613924000000,-0.079789733000000,-0.090481730000000,-0.096406258000000,-0.230971364000000,-0.235655174000000,-0.357897790000000,-0.157298299000000,-0.238650822000000,-0.305056588000000,0.073221429313120,0.000198984112597,0,1
38,11415,-0.415097845000000,-0.430127004000000,-0.361602613000000,-0.422440368000000,-0.363407620000000,-0.362593141000000,-0.425407392000000,-0.437088465000000,-0.374929570000000,-0.437607163000000,0.069702595629502,0.000155993452935,0,2
39,10171,-0.348567592000000,-0.360059550000000,-0.361602613000000,-0.357233546000000,-0.429625748000000,-0.299124158000000,-0.357897790000000,-0.367140923000000,-0.443068944000000,-0.437607163000000,0.005070683998221,0.000001329823193,0,2
40,11364,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.153200135202010,0.000682696282675,0,2
