OBJECTID,zip_1,small_03,small_04,small_05,small_06,small_07,small_08,small_09,small_10,small_11,small_12,Shape_Length,Shape_Area,SS_SEED,SS_GROUP
78,10456,-0.369185705000000,-0.384140360000000,-0.389854236000000,-0.391748803000000,-0.379738352000000,-0.367007488000000,-0.371006758000000,-0.355664997000000,-0.359623165000000,-0.352406246000000,0.087503544702312,0.000280891683666,0,2
79,10165,-0.371718358000000,-0.388239478000000,-0.397294685000000,-0.400796547000000,-0.424819948000000,-0.448436622000000,-0.465931025000000,-0.506328838000000,-0.522653572000000,-0.544319808000000,0.005128820373821,0.000001392379433,0,1
80,10012,1.505821878000000,1.493255919000000,1.558716804000000,1.551048516000000,1.528715893000000,1.538602137000000,1.518155649000000,1.541175836000000,1.528319637000000,1.508903893000000,0.036586531581059,0.000084619079381,0,4
81,10033,-0.003639427000000,-0.005381809000000,-0.021138629000000,-0.024081402000000,-0.004893227000000,-0.027019868000000,-0.016735836000000,-0.001858897000000,-0.009910270000000,-0.016347999000000,0.075620142418009,0.000163557804419,0,2
82,11239,-0.717003410000000,-0.714529312000000,-0.727154611000000,-0.728982885000000,-0.742895655000000,-0.754005743000000,-0.769349662000000,-0.779724460000000,-0.787050036000000,-0.798249107000000,0.071987041945147,0.000163916792371,0,1
83,10282,-0.642712250000000,-0.632546942000000,-0.636215784000000,-0.628635183000000,-0.615164466000000,-0.643194963000000,-0.676968010000000,-0.684078313000000,-0.699199454000000,-0.723662613000000,0.020911816860160,0.000021784175166,0,1
84,10168,-0.653687080000000,-0.648943416000000,-0.662670716000000,-0.662358591000000,-0.657741529000000,-0.659144999000000,-0.661712324000000,-0.676460479000000,-0.700888888000000,-0.694330846000000,0.005168538095442,0.000001408751073,0,1
85,10462,0.014933363000000,0.015113783000000,0.014410185000000,-0.005985915000000,-0.014911359000000,-0.020304063000000,0.006147693000000,0.004912511000000,0.001915770000000,-0.012995797000000,0.122013986567892,0.000415176870628,0,2
86,10278,-0.772721780000000,-0.768637676000000,-0.780064474000000,-0.779979258000000,-0.792151474000000,-0.800176901000000,-0.810879028000000,-0.823738616000000,-0.832664762000000,-0.840151631000000,0.008082553277603,0.000003577603563,0,1
87,10003,2.167688579000000,2.149934705000000,2.239931288000000,2.243612167000000,2.392779822000000,2.416693620000000,2.454685241000000,2.464626684000000,2.476092265000000,2.477690260000000,0.056382851694727,0.000156138522629,0,3
88,11233,-0.541406122000000,-0.536627569000000,-0.551063974000000,-0.545560446000000,-0.545872382000000,-0.544976317000000,-0.535429148000000,-0.533414472000000,-0.520119421000000,-0.499065082000000,0.095408849358231,0.000367465733635,0,1
89,10020,-0.235799303000000,-0.218535972000000,-0.250965846000000,-0.242872294000000,-0.295419070000000,-0.302367867000000,-0.282015259000000,-0.310804415000000,-0.310629571000000,-0.313855923000000,0.017834468299182,0.000006015117796,0,2
90,10044,-0.733043547000000,-0.727646491000000,-0.733768344000000,-0.731450452000000,-0.734547212000000,-0.737216230000000,-0.743075981000000,-0.757717382000000,-0.755795502000000,-0.769755390000000,0.064431352677420,0.000061740645162,0,1
91,10039,-0.671415653000000,-0.663700242000000,-0.670111165000000,-0.664826157000000,-0.673603572000000,-0.680131889000000,-0.687986005000000,-0.682385461000000,-0.684839263000000,-0.689302543000000,0.075006225038501,0.000121184595238,1,1
92,11109,-0.770189127000000,-0.763718734000000,-0.776757607000000,-0.772576559000000,-0.781298497000000,-0.784226864000000,-0.796470881000000,-0.804270816000000,-0.812391550000000,-0.810819864000000,0.018994805542644,0.000015894230612,0,1
93,11411,-0.678169394000000,-0.675997598000000,-0.680031764000000,-0.680454078000000,-0.692804993000000,-0.702797731000000,-0.712564609000000,-0.718781783000000,-0.729609271000000,-0.740423623000000,0.077407542437702,0.000326936717622,0,1
94,11220,0.588157203000000,0.609485968000000,0.610472857000000,0.617485875000000,0.737283424000000,0.802382031000000,0.896062689000000,0.968991810000000,1.067948797000000,1.112506011000000,0.127737199218879,0.000489094129174,0,4
95,10026,-0.564200001000000,-0.556303337000000,-0.548583824000000,-0.549673056000000,-0.528340651000000,-0.522310475000000,-0.517630848000000,-0.504635986000000,-0.493088472000000,-0.472247466000000,0.044911301597646,0.000092780820957,0,1
96,10007,0.520619785000000,0.514386418000000,0.251677851000000,0.224320287000000,0.218845066000000,0.235735997000000,0.196843763000000,0.231754699000000,0.248573174000000,0.253504259000000,0.043234271841793,0.000042588347725,0,2
97,10170,-0.532963944000000,-0.532528450000000,-0.553544124000000,-0.549673056000000,-0.553385982000000,-0.565963207000000,-0.571873286000000,-0.581660758000000,-0.596143963000000,-0.617230201000000,0.007057929953402,0.000002656552033,0,1
98,11210,-0.093970724000000,-0.095562416000000,-0.071568342000000,-0.062739943000000,-0.070011088000000,-0.058919941000000,-0.054875050000000,-0.010323158000000,0.012052376000000,-0.025566555000000,0.106274700755618,0.000447726463400,0,2
99,10024,0.853241571000000,0.829198720000000,0.817152009000000,0.811601103000000,0.815758795000000,0.798184653000000,0.807071190000000,0.813249412000000,0.765540062000000,0.748792098000000,0.116889282489536,0.000236409965573,0,4
100,10172,-0.749083684000000,-0.745682613000000,-0.757743125000000,-0.748723417000000,-0.761262232000000,-0.770795255000000,-0.782062733000000,-0.790727999000000,-0.801410228000000,-0.801601309000000,0.005063219447299,0.000001323880803,0,1
101,11238,-0.278854407000000,-0.261986628000000,-0.265846745000000,-0.243694816000000,-0.253676851000000,-0.226815062000000,-0.193023759000000,-0.175376243000000,-0.130704821000000,-0.072497382000000,0.090367616041753,0.000305615417385,0,2
102,11417,-0.490753058000000,-0.489897617000000,-0.489886945000000,-0.491273984000000,-0.493277187000000,-0.497126207000000,-0.507460391000000,-0.508868116000000,-0.515895835000000,-0.525882697000000,0.089837345933857,0.000305029375749,0,1
103,11005,-0.753304772000000,-0.749781731000000,-0.761049992000000,-0.763528815000000,-0.767940987000000,-0.780029486000000,-0.793928266000000,-0.805963668000000,-0.815770419000000,-0.823390621000000,0.032803455235182,0.000046719524174,0,1
104,11427,-0.608943540000000,-0.599753994000000,-0.603147120000000,-0.608072129000000,-0.622678065000000,-0.626405450000000,-0.641371410000000,-0.640910584000000,-0.640069254000000,-0.652428321000000,0.132537877046938,0.000433965278229,0,1
105,11218,0.256379635000000,0.267619484000000,0.295493831000000,0.286831971000000,0.330714213000000,0.346546777000000,0.396862753000000,0.393422079000000,0.424274339000000,0.473911537000000,0.100920067641748,0.000394288544146,0,2
106,11369,-0.605566669000000,-0.600573817000000,-0.596533387000000,-0.584218987000000,-0.599302423000000,-0.591147475000000,-0.598146967000000,-0.610439245000000,-0.613038306000000,-0.608849696000000,0.092995848559705,0.000300102861082,0,1
