zip,mid_03,mid_04,mid_05,mid_06,mid_07,mid_08,mid_09,mid_10,mid_11,mid_12
10153,8,7,7,9,8,12,14,11,11,15
10154,7,9,9,11,8,7,7,8,7,10
10162,1,1,2,1,1,1,1,1,1,1
10165,17,19,20,17,15,13,13,14,16,8
10167,10,11,12,10,14,15,17,15,13,14
10168,11,10,9,11,14,16,10,11,12,13
10169,9,9,10,12,13,14,15,12,16,13
10170,10,11,9,10,11,10,12,10,11,16
10171,8,8,9,7,9,8,9,8,8,9
10172,5,5,6,6,7,11,11,12,9,16
10173,0,1,2,2,1,1,1,6,7,8
10174,10,7,10,13,12,11,12,13,11,12
10177,6,5,6,7,8,9,9,3,5,5
10199,1,1,1,1,1,1,0,0,0,0
10271,14,14,12,12,14,16,17,16,14,20
10278,0,0,0,0,0,0,0,0,1,0
10279,21,4,3,4,5,5,7,6,7,6
10280,5,4,3,3,5,4,4,4,3,4
10282,3,6,3,3,7,7,6,5,6,8
10301,25,22,21,21,21,16,17,20,17,15
10302,16,11,12,13,13,13,12,13,10,14
10303,17,22,21,27,29,26,26,24,26,24
10304,16,11,11,14,11,12,13,10,9,10
10305,22,23,21,25,27,26,26,27,27,22
10306,18,25,19,20,20,19,18,16,18,10
10307,3,3,3,4,3,4,3,4,5,4
10308,4,3,4,4,2,3,2,6,5,6
10309,18,16,15,18,20,17,16,17,18,22
10310,11,10,11,11,10,13,10,12,9,9
10311,4,2,0,0,0,0,0,0,1,2
10312,19,19,19,23,20,21,20,21,16,18
10314,62,60,59,61,67,64,64,60,58,60
10451,37,34,38,37,38,39,40,39,47,47
10452,17,16,11,11,16,17,20,19,17,15
10453,7,8,7,8,10,8,8,10,10,11
10454,33,37,33,26,28,32,26,28,24,32
10455,23,24,23,26,23,26,26,21,26,30
10456,12,14,12,8,11,13,14,12,15,15
10457,27,23,19,20,17,24,23,17,15,18
10458,23,25,26,26,26,29,23,27,28,26
10459,11,11,12,11,11,14,12,15,12,10
10460,12,14,15,22,18,18,22,22,22,23
10461,38,34,36,31,35,36,35,31,28,32
10462,22,23,21,20,27,28,23,26,26,31
10463,22,24,25,25,22,25,23,23,19,23
10464,5,4,3,4,2,3,5,4,5,5
10465,18,17,19,19,19,22,23,21,22,21
10466,19,14,17,18,12,11,10,13,15,21
10467,18,17,16,22,18,18,16,17,20,19
10468,14,13,13,17,17,14,13,17,17,18
10469,19,17,18,21,21,22,22,22,19,21
10470,10,11,10,9,8,9,10,10,8,8
10471,13,12,12,11,11,12,14,15,18,14
10472,12,12,11,9,11,10,11,11,11,14
10473,21,19,22,21,19,19,22,25,23,22
10474,41,39,39,39,47,51,50,47,47,43
10475,30,27,26,21,20,21,21,19,20,23
11004,7,6,4,4,4,6,6,4,4,4
11005,2,3,2,2,3,3,3,2,2,1
11101,238,235,232,222,226,231,207,193,202,209
11102,14,11,12,14,11,14,13,14,14,12
11103,10,13,10,13,14,12,13,10,15,11
11104,12,10,7,8,8,9,10,8,7,11
11105,29,22,21,22,22,22,24,22,21,22
11106,26,24,20,19,27,28,24,25,26,25
11109,0,0,0,0,0,0,0,0,0,0
11201,119,110,117,120,125,122,123,129,128,129
11203,19,21,20,19,22,23,21,18,19,21
11204,22,24,22,25,18,22,26,24,25,34
11205,20,23,24,29,26,28,31,30,28,28
11206,37,33,33,36,32,32,34,30,30,29
11207,30,34,35,34,32,40,45,40,43,44
11208,25,28,24,25,24,29,26,24,26,25
11209,29,29,26,29,26,26,23,23,19,23
11210,12,10,7,11,11,12,14,14,15,20
11211,58,60,66,69,60,62,63,62,68,59
11212,15,13,14,16,15,16,11,8,9,14
11213,4,6,7,9,6,8,8,6,7,4
11214,22,21,21,22,23,23,19,25,28,30
11215,44,45,43,47,42,41,39,35,45,43
11216,11,11,13,15,14,14,15,14,14,18
11217,30,35,37,36,35,32,37,37,42,44
11218,21,23,22,26,23,22,20,22,22,24
11219,43,41,33,41,38,42,36,42,40,40
11220,52,56,45,44,47,46,41,37,38,45
11221,4,5,4,5,3,4,4,6,4,6
11222,51,53,56,48,46,51,46,44,41,33
11223,24,21,19,23,21,21,23,19,22,26
11224,7,11,12,14,11,15,13,13,11,11
11225,8,10,11,10,10,6,11,11,8,7
11226,23,23,24,22,21,18,20,21,23,27
11228,6,9,10,8,7,9,7,8,6,9
11229,17,21,20,22,22,23,25,24,26,21
11230,32,32,32,37,32,26,26,29,33,39
11231,26,25,28,22,21,20,21,23,26,31
11232,53,45,49,50,54,56,55,44,47,54
11233,7,8,10,7,11,9,9,8,12,10
11234,43,44,42,45,46,40,36,42,48,46
11235,25,31,29,28,33,27,28,24,27,30
11236,27,33,28,34,34,35,35,29,34,30
11237,34,32,29,31,27,30,24,25,29,29
11238,15,13,13,14,13,14,11,9,13,8
11239,11,10,8,9,13,11,12,9,10,11
11351,0,0,0,0,0,0,0,0,0,0
11354,38,40,47,44,42,47,44,50,53,50
11355,19,21,21,17,19,19,16,18,14,17
11356,30,36,37,38,32,38,36,31,29,34
11357,28,25,18,17,19,22,28,22,23,18
11358,12,13,12,11,9,9,7,9,10,12
11359,1,1,1,1,1,1,1,1,1,1
11360,11,10,9,6,7,6,5,8,7,8
11361,20,24,17,16,20,20,17,17,14,15
11362,8,11,10,9,9,10,10,10,8,9
11363,5,5,4,3,3,4,4,4,2,1
11364,6,7,6,7,5,7,6,6,5,5
11365,20,20,20,26,24,27,25,24,25,21
11366,7,5,4,6,5,6,8,6,6,5
11367,10,10,8,8,7,7,6,6,11,11
11368,29,38,31,30,27,25,30,22,35,30
11369,12,12,11,12,11,13,15,15,16,16
11370,7,7,9,7,4,12,10,9,10,11
11371,23,16,20,17,19,17,25,17,14,19
11372,13,12,9,9,14,14,13,9,11,15
11373,32,31,39,37,28,40,37,36,41,30
11374,31,29,27,29,28,29,29,26,32,31
11375,45,46,44,40,37,38,37,37,37,33
11377,45,44,40,44,50,45,44,37,38,40
11378,72,65,70,65,70,70,65,59,62,62
11379,15,13,14,16,18,19,16,17,15,17
11385,42,40,41,49,45,52,46,46,41,46
11411,3,5,3,4,3,5,5,5,6,5
11412,5,3,2,2,3,2,1,3,3,4
11413,16,12,12,15,15,18,14,13,17,13
11414,6,7,6,8,8,7,6,9,8,6
11415,11,10,10,11,11,13,14,16,11,15
11416,10,13,14,13,15,16,15,17,16,13
11417,5,7,2,4,5,6,3,6,4,5
11418,15,17,19,17,22,21,26,21,25,27
11419,3,5,4,4,4,5,5,4,3,6
11420,1,0,1,2,1,1,2,4,4,5
11421,6,7,6,6,4,4,5,5,3,2
11422,13,11,10,11,10,8,7,9,8,7
11423,9,7,7,10,8,7,9,9,8,12
11424,0,0,0,0,0,0,0,0,0,0
11425,0,0,0,0,0,0,0,0,0,0
11426,5,6,5,3,2,3,3,1,1,3
11427,8,9,8,7,9,7,8,9,9,10
11428,6,4,5,8,5,8,8,6,4,7
11429,9,9,8,9,8,9,7,7,9,9
11430,45,51,52,46,46,45,43,46,45,46
11432,43,37,40,39,31,32,34,33,32,35
11433,11,10,12,10,11,12,12,12,14,16
11434,27,28,29,25,28,28,22,23,22,25
11435,18,18,14,17,17,20,18,19,19,17
11436,6,7,6,6,5,5,7,8,5,4
11451,0,0,0,0,0,0,0,0,0,0
11691,23,24,23,28,20,18,22,25,24,26
11692,9,9,9,9,10,8,8,4,5,4
11693,0,0,0,1,2,3,4,4,4,3
11694,7,5,4,4,6,7,6,7,6,7
11697,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
mid_mean,35.90430622,36.96172249,36.94258373,37.9138756,37.98564593,39.4354067,37.41626794,36.70334928,37.41626794,38.62200957
