,census_tract,cluster,code
2051,36081157901,3,4157901
2052,36081157902,3,4157902
2053,36081157903,3,4157903
2054,36081161700,3,4161700
2055,36081162100,1,4162100
2056,36081990100,0,4990100
2057,36085000300,0,5000300
2058,36085000600,0,5000600
2059,36085000700,3,5000700
2060,36085000800,3,5000800
2061,36085000900,0,5000900
2062,36085001100,0,5001100
2063,36085001700,0,5001700
2064,36085001800,0,5001800
2065,36085002001,0,5002001
2066,36085002002,3,5002002
2067,36085002100,0,5002100
2068,36085002700,0,5002700
2069,36085002900,3,5002900
2070,36085003300,3,5003300
2071,36085003600,0,5003600
2072,36085003900,0,5003900
2073,36085004000,1,5004000
2074,36085004700,0,5004700
2075,36085005000,3,5005000
2076,36085005900,0,5005900
2077,36085006400,3,5006400
2078,36085006700,0,5006700
2079,36085007000,1,5007000
2080,36085007400,4,5007400
2081,36085007500,0,5007500
2082,36085007700,0,5007700
2083,36085008100,4,5008100
2084,36085008900,0,5008900
2085,36085009601,3,5009601
2086,36085009602,3,5009602
2087,36085009700,3,5009700
2088,36085010500,3,5010500
2089,36085011201,1,5011201
2090,36085011202,1,5011202
2091,36085011401,3,5011401
2092,36085011402,3,5011402
2093,36085012100,3,5012100
2094,36085012200,3,5012200
2095,36085012500,0,5012500
2096,36085012804,4,5012804
2097,36085012805,3,5012805
2098,36085012806,1,5012806
2099,36085013201,0,5013201
2100,36085013203,1,5013203
2101,36085013204,1,5013204
2102,36085013301,0,5013301
2103,36085013302,0,5013302
2104,36085013400,1,5013400
2105,36085013800,1,5013800
2106,36085014100,0,5014100
2107,36085014604,1,5014604
2108,36085014605,3,5014605
2109,36085014606,1,5014606
2110,36085014607,3,5014607
2111,36085014608,3,5014608
2112,36085014700,3,5014700
2113,36085015100,3,5015100
2114,36085015400,0,5015400
2115,36085015601,1,5015601
2116,36085015602,3,5015602
2117,36085015603,3,5015603
2118,36085016901,0,5016901
2119,36085017005,3,5017005
2120,36085017007,3,5017007
2121,36085017008,1,5017008
2122,36085017009,3,5017009
2123,36085017010,1,5017010
2124,36085017011,3,5017011
2125,36085017012,4,5017012
2126,36085017300,0,5017300
2127,36085017600,3,5017600
2128,36085017700,1,5017700
2129,36085018100,3,5018100
2130,36085018701,0,5018701
2131,36085018702,1,5018702
2132,36085018901,1,5018901
2133,36085018902,1,5018902
2134,36085019700,0,5019700
2135,36085019800,1,5019800
2136,36085020100,3,5020100
2137,36085020700,3,5020700
2138,36085020801,1,5020801
2139,36085020803,1,5020803
2140,36085020804,3,5020804
2141,36085021300,3,5021300
2142,36085022300,0,5022300
2143,36085022600,1,5022600
2144,36085022800,0,5022800
2145,36085023100,1,5023100
2146,36085023900,3,5023900
2147,36085024401,1,5024401
2148,36085024402,3,5024402
2149,36085024700,3,5024700
2150,36085024800,3,5024800
2151,36085025100,1,5025100
2152,36085027301,3,5027301
2153,36085027302,3,5027302
2154,36085027702,1,5027702
2155,36085027704,3,5027704
2156,36085027705,3,5027705
2157,36085027706,0,5027706
2158,36085027900,0,5027900
2159,36085029102,0,5029102
2160,36085029103,1,5029103
2161,36085029104,1,5029104
2162,36085030301,1,5030301
2163,36085030302,1,5030302
2164,36085031901,0,5031901
2165,36085031902,3,5031902
2166,36085032300,0,5032300
2167,36085990100,0,5990100
